===============================================
MyPinTool analysis results: 
Number of instructions: 8533891
        _IO_file_xsgetn       libc.so.6       7f6ae9673a20            7          259
         _IO_file_write       libc.so.6       7f6ae9673890            1           36
          _IO_file_stat       libc.so.6       7f6ae9673880            2            8
           new_do_write       libc.so.6       7f6ae9672f50            1           40
        _IO_file_setbuf       libc.so.6       7f6ae9672ec0            1           15
         _IO_file_close       libc.so.6       7f6ae9672eb0            1            2
          _IO_file_sync       libc.so.6       7f6ae9672df0            7          101
                  fread       libc.so.6       7f6ae96698d0            7          385
                  fopen       libc.so.6       7f6ae9669520            1            2
       __fopen_internal       libc.so.6       7f6ae9669470            1           39
     __fopen_maybe_mmap       libc.so.6       7f6ae9669430            1            4
             _IO_fflush       libc.so.6       7f6ae9668f20            6          252
                 fclose       libc.so.6       7f6ae9668a50            1           75
    _IO_file_doallocate       libc.so.6       7f6ae9668930            2           88
                 printf       libc.so.6       7f6ae964fec0           15          339
            __printf_fp       libc.so.6       7f6ae964b010            3         2571
       hack_digit.13631       libc.so.6       7f6ae964ae50           25         1076
               vfprintf       libc.so.6       7f6ae9645970           15         6734
             _itoa_word       libc.so.6       7f6ae9645790           23          566
   __mpn_extract_double       libc.so.6       7f6ae96450e0            3           63
            __mpn_mul_1       libc.so.6       7f6ae9644440           26          616
           __mpn_rshift       libc.so.6       7f6ae9643f30            4           68
           __mpn_lshift       libc.so.6       7f6ae9643e20            4           64
           __mpn_divrem       libc.so.6       7f6ae96439d0           18          831
              __mpn_cmp       libc.so.6       7f6ae9643930            3           33
__GI_____strtol_l_internal       libc.so.6       7f6ae96384d0            1          102
                strtoll       libc.so.6       7f6ae9638470            1            5
      __drand48_iterate       libc.so.6       7f6ae96383f0            8          165
              erand48_r       libc.so.6       7f6ae96381d0            8          264
                erand48       libc.so.6       7f6ae96380c0            8           56
       __call_tls_dtors       libc.so.6       7f6ae96375d0            1           12
         __cxa_finalize       libc.so.6       7f6ae9637350            5          381
           __cxa_atexit       libc.so.6       7f6ae96372c0           10          220
           __new_exitfn       libc.so.6       7f6ae9637100           10          440
                   exit       libc.so.6       7f6ae9637090            1            4
    __run_exit_handlers       libc.so.6       7f6ae9636f80            1          210
                 getenv       libc.so.6       7f6ae9636620           12         6960
                _setjmp       libc.so.6       7f6ae9634310            8           16
          __sigjmp_save       libc.so.6       7f6ae96342d0            8           72
            __sigsetjmp       libc.so.6       7f6ae9634270            8          144
                  isnan       libc.so.6       7f6ae9633890            3           21
                __isinf       libc.so.6       7f6ae9633850            3           39
           __ctype_init       libc.so.6       7f6ae962d910            8          136
            __uselocale       libc.so.6       7f6ae962cf50            2           44
            __newlocale       libc.so.6       7f6ae962c670            1           40
    __gconv_btwoc_ascii       libc.so.6       7f6ae9623f40          128          640
     __get_cpu_features       libc.so.6       7f6ae96210d0            1            5
      __libc_start_main       libc.so.6       7f6ae9620af0            1           60
                  _init       libc.so.6       7f6ae9620940            1          101
         init_cacheinfo       libc.so.6       7f6ae96206d0            1          144
                   .plt       libc.so.6       7f6ae961e480            0            4
                  _fini libpthread.so.0       7f6ae99be8d4            1            3
           elision_init libpthread.so.0       7f6ae99be2c0            1           14
     __get_cpu_features libpthread.so.0       7f6ae99be2a0            1            6
    __init_cpu_features libpthread.so.0       7f6ae99be050            1           70
 pthread_getaffinity_np libpthread.so.0       7f6ae99bccc0            1           20
       __libc_sigaction libpthread.so.0       7f6ae99bca00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7f6ae99bb480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7f6ae99bb420           17          238
           pthread_once libpthread.so.0       7f6ae99ba420           32          176
    pthread_setspecific libpthread.so.0       7f6ae99b9f70            2           68
     pthread_key_delete libpthread.so.0       7f6ae99b9eb0            1           14
   __pthread_key_create libpthread.so.0       7f6ae99b9e50            1           19
 __pthread_mutex_unlock libpthread.so.0       7f6ae99b8610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7f6ae99b8530            2           64
   __pthread_mutex_lock libpthread.so.0       7f6ae99b7290            2           68
pthread_attr_setdetachstate libpthread.so.0       7f6ae99b6ba0            1            5
      pthread_attr_init libpthread.so.0       7f6ae99b6ad0            1           31
           pthread_self libpthread.so.0       7f6ae99b6790            1            2
         pthread_create libpthread.so.0       7f6ae99b5310            7         1526
           start_thread libpthread.so.0       7f6ae99b5010            7          266
   do_clone.constprop.3 libpthread.so.0       7f6ae99b4280            7          224
__pthread_initialize_minimal libpthread.so.0       7f6ae99b3b30            1          161
            frame_dummy libpthread.so.0       7f6ae99b3990            1            3
  __do_global_dtors_aux libpthread.so.0       7f6ae99b3950            1           12
     register_tm_clones libpthread.so.0       7f6ae99b3910            1           13
   deregister_tm_clones libpthread.so.0       7f6ae99b38e0            1            9
                   .plt libpthread.so.0       7f6ae99b2540           13          108
                  _init libpthread.so.0       7f6ae99b2530            1            4
                  .fini   libgcc_s.so.1       7f6ae9bdd668            1            3
   __cpu_indicator_init   libgcc_s.so.1       7f6ae9bce150            1           81
                  .text   libgcc_s.so.1       7f6ae9bcdfd0            0           93
                   .plt   libgcc_s.so.1       7f6ae9bcdd00            1            5
                  _init   libgcc_s.so.1       7f6ae9bcdcd8            1            6
                  .fini    libgomp.so.1       7f6ae9ded350            1            3
     omp_get_thread_num    libgomp.so.1       7f6ae9dea010           18           72
    omp_get_num_threads    libgomp.so.1       7f6ae9de9fe0            7           49
      GOMP_parallel_end    libgomp.so.1       7f6ae9de9f90           16           48
    GOMP_parallel_start    libgomp.so.1       7f6ae9de9f60           16          304
   GOMP_loop_end_nowait    libgomp.so.1       7f6ae9de8da0            8            8
 GOMP_loop_dynamic_next    libgomp.so.1       7f6ae9de8a10            8            8
GOMP_loop_dynamic_start    libgomp.so.1       7f6ae9de81c0            8          576
    omp_get_max_threads    libgomp.so.1       7f6ae9de7440            2           18
    omp_set_num_threads    libgomp.so.1       7f6ae9de7210            2           28
                  .text    libgomp.so.1       7f6ae9de6030            0          427
                   .plt    libgomp.so.1       7f6ae9de5d90           14          143
                  _init    libgomp.so.1       7f6ae9de5d68            1            6
                  _fini       libm.so.6       7f6aea063c38            1            3
           __ceil_sse41       libm.so.6       7f6aea00b440            2            4
            frame_dummy       libm.so.6       7f6ae9ff6c30            1            3
  __do_global_dtors_aux       libm.so.6       7f6ae9ff6bf0            1           12
     register_tm_clones       libm.so.6       7f6ae9ff6bb0            1           13
   deregister_tm_clones       libm.so.6       7f6ae9ff6b80            1            9
                   .plt       libm.so.6       7f6ae9ff6680            1            6
                  _init       libm.so.6       7f6ae9ff6660            1            6
                  .fini  libstdc++.so.6       7f6aea3dcc1c            1            3
_ZNSt14error_categoryC2Ev  libstdc++.so.6       7f6aea3cfc80            3           12
_ZNSt14error_categoryD1Ev  libstdc++.so.6       7f6aea3cfaf0            3           12
_ZNKSt8__detail20_Prime_rehash_policy11_M_next_bktEm  libstdc++.so.6       7f6aea3cf2f0            2           50
 _ZSt15future_categoryv  libstdc++.so.6       7f6aea3cf0f0            1           21
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f6aea3c0e10            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f6aea3c0dc0            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7f6aea3c0c80            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f6aea3bfb80            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f6aea3bfb30            4           76
_ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale  libstdc++.so.6       7f6aea3bef20            4           76
  _ZNSt8messagesIwEC1Em  libstdc++.so.6       7f6aea3bea90            1           19
_ZNSt11__timepunctIwEC2EPSt17__timepunct_cacheIwEm  libstdc++.so.6       7f6aea3be2c0            1           22
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv  libstdc++.so.6       7f6aea3b4b70            3           42
          _ZNSo5flushEv  libstdc++.so.6       7f6aea3b2930            3           42
_ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv  libstdc++.so.6       7f6aea3b2020            3            6
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv  libstdc++.so.6       7f6aea3b2010            3            6
_ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f6aea3a6310            4           84
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f6aea3a62c0            4           84
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale  libstdc++.so.6       7f6aea3a6180            4           84
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f6aea3a5570            4           76
_ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f6aea3a5520            4           76
_ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale  libstdc++.so.6       7f6aea3a4700            4           76
  _ZNSt8messagesIcEC1Em  libstdc++.so.6       7f6aea3a4270            1           19
_ZNSt11__timepunctIcEC2EPSt17__timepunct_cacheIcEm  libstdc++.so.6       7f6aea3a3aa0            1           22
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E  libstdc++.so.6       7f6aea39be40            4           88
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f6aea39bd00            4          120
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E  libstdc++.so.6       7f6aea39b6e0            4           88
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f6aea39b5a0            4          120
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_  libstdc++.so.6       7f6aea39adf0            1            9
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7f6aea399d50            1          105
_ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7f6aea3993c0            1          107
_ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7f6aea399160            1          349
_ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7f6aea398f30            1          413
_ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7f6aea398840            1          101
_ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7f6aea398270            1          101
_ZNSt10moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7f6aea397d30            1          112
_ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7f6aea3977f0            1          112
_ZNSt5ctypeIwE19_M_initialize_ctypeEv  libstdc++.so.6       7f6aea397110            1         2757
_ZNKSt5ctypeIwE19_M_convert_to_wmaskEt  libstdc++.so.6       7f6aea396b60           12          129
 _ZNSt5ctypeIcEC2EPKtbm  libstdc++.so.6       7f6aea3968a0            1          159
       _ZNSt6localeC1Ev  libstdc++.so.6       7f6aea38fd70           22          418
 _ZNSt6locale5_ImplC1Em  libstdc++.so.6       7f6aea38eba0            1          819
_ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE  libstdc++.so.6       7f6aea38e7f0           28         7420
_ZNKSt6locale2id5_M_idEv  libstdc++.so.6       7f6aea38e7b0           84          644
       _ZNSt6localeD1Ev  libstdc++.so.6       7f6aea38e410            8           80
    _ZNSt6localeaSERKS_  libstdc++.so.6       7f6aea38e390            8          120
_ZNSt6locale5facet13_S_get_c_nameEv  libstdc++.so.6       7f6aea38e1e0            5           10
_ZNSt6locale5facet15_S_get_c_localeEv  libstdc++.so.6       7f6aea38e1a0           10          100
_ZNSt8__detail15_List_node_base7_M_hookEPS0_  libstdc++.so.6       7f6aea38d900            3           21
_ZNSt8ios_base7_M_initEv  libstdc++.so.6       7f6aea38d780            8          144
_ZNSt8ios_base4InitD1Ev  libstdc++.so.6       7f6aea38d480            4           50
_ZNSt8ios_base4InitC2Ev  libstdc++.so.6       7f6aea38cbb0            4          333
     _ZNSt8ios_baseC2Ev  libstdc++.so.6       7f6aea38c6b0            8          472
     _ZNSt5ctypeIwEC2Em  libstdc++.so.6       7f6aea38c2c0            1           19
_ZNSt7codecvtIwc11__mbstate_tEC2Em  libstdc++.so.6       7f6aea389680            1           17
_ZNSt7codecvtIcc11__mbstate_tEC1Em  libstdc++.so.6       7f6aea3895e0            1           17
_ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7f6aea37ece0            8          464
_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7f6aea37e330           40         1400
                  _Znam  libstdc++.so.6       7f6aea37dfb0           16           64
                  _Znwm  libstdc++.so.6       7f6aea37dea0           23          345
    __cxa_guard_release  libstdc++.so.6       7f6aea37dcd0            1            7
    __cxa_guard_acquire  libstdc++.so.6       7f6aea37db80            1           30
         __dynamic_cast  libstdc++.so.6       7f6aea37c220           48         1968
                 _ZdaPv  libstdc++.so.6       7f6aea37c200           16           16
                 _ZdlPv  libstdc++.so.6       7f6aea37c1d0           23           69
                  .text  libstdc++.so.6       7f6aea37a610            1          294
                   .plt  libstdc++.so.6       7f6aea377ce0           68         1137
                  _init  libstdc++.so.6       7f6aea377cc0            1            6
                 memcpy ld-linux-x86-64.so.2       7f6afda6f520           37         1149
              __mempcpy ld-linux-x86-64.so.2       7f6afda6f2f0           32          632
                 memset ld-linux-x86-64.so.2       7f6afda6f2e0           45        10977
                 memcmp ld-linux-x86-64.so.2       7f6afda6ec50           24         2013
                 strlen ld-linux-x86-64.so.2       7f6afda6e5f0           28         1467
                 strcmp ld-linux-x86-64.so.2       7f6afda6e5c0        22554       160982
                 strchr ld-linux-x86-64.so.2       7f6afda6e540           23          764
       __GI___sigsetjmp ld-linux-x86-64.so.2       7f6afda6e260           17          323
             __mprotect ld-linux-x86-64.so.2       7f6afda6e190           14           70
                 munmap ld-linux-x86-64.so.2       7f6afda6e170            1            5
                 __mmap ld-linux-x86-64.so.2       7f6afda6e140           22          132
                  close ld-linux-x86-64.so.2       7f6afda6e120            7           35
                 access ld-linux-x86-64.so.2       7f6afda6e070            1            9
                   read ld-linux-x86-64.so.2       7f6afda6e030            6           30
                 __open ld-linux-x86-64.so.2       7f6afda6e010            7           35
               __fxstat ld-linux-x86-64.so.2       7f6afda6df90            7           70
                 __sbrk ld-linux-x86-64.so.2       7f6afda6cd50            1           17
                  __brk ld-linux-x86-64.so.2       7f6afda6ccf0            1           12
                   free ld-linux-x86-64.so.2       7f6afda6c7c0            2           12
                 calloc ld-linux-x86-64.so.2       7f6afda6c780           22          176
                 malloc ld-linux-x86-64.so.2       7f6afda6c770           45          135
        __libc_memalign ld-linux-x86-64.so.2       7f6afda6c660           46         1475
  _dl_next_ld_env_entry ld-linux-x86-64.so.2       7f6afda6c5a0            1          571
 _dl_discover_osversion ld-linux-x86-64.so.2       7f6afda6c3c0            1           53
_dl_sysdep_start_cleanup ld-linux-x86-64.so.2       7f6afda6c200            1            1
       _dl_sysdep_start ld-linux-x86-64.so.2       7f6afda6bf40            1          557
       _dl_unload_cache ld-linux-x86-64.so.2       7f6afda6bf00            1           10
  _dl_load_cache_lookup ld-linux-x86-64.so.2       7f6afda6b9b0            6         1649
       _dl_cache_libcmp ld-linux-x86-64.so.2       7f6afda6b8d0           65         4685
    _dl_runtime_resolve ld-linux-x86-64.so.2       7f6afda6b160          125         2625
_dl_find_dso_for_object ld-linux-x86-64.so.2       7f6afda69710            1           69
    _dl_add_to_slotinfo ld-linux-x86-64.so.2       7f6afda68a20            3           60
         __tls_get_addr ld-linux-x86-64.so.2       7f6afda68970            1           11
       _dl_allocate_tls ld-linux-x86-64.so.2       7f6afda68550            7           49
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f6afda68330            8         1312
_dl_allocate_tls_storage ld-linux-x86-64.so.2       7f6afda681f0            1          324
_dl_get_tls_static_info ld-linux-x86-64.so.2       7f6afda681d0            1            5
_dl_determine_tlsoffset ld-linux-x86-64.so.2       7f6afda67f60            1          144
     _dl_next_tls_modid ld-linux-x86-64.so.2       7f6afda67e80            3           24
           allocate_dtv ld-linux-x86-64.so.2       7f6afda67e30            8          152
 _dl_check_all_versions ld-linux-x86-64.so.2       7f6afda671a0            1          145
 _dl_check_map_versions ld-linux-x86-64.so.2       7f6afda66d20            9         6116
           match_symbol ld-linux-x86-64.so.2       7f6afda66960           39         3917
_dl_higher_prime_number ld-linux-x86-64.so.2       7f6afda668f0            2          144
       _dl_name_match_p ld-linux-x86-64.so.2       7f6afda66880          694        18820
_dl_sysdep_read_whole_file ld-linux-x86-64.so.2       7f6afda666e0            1           41
   _dl_debug_initialize ld-linux-x86-64.so.2       7f6afda660b0            8           73
        _dl_debug_state ld-linux-x86-64.so.2       7f6afda660a0            2            2
               _dl_fini ld-linux-x86-64.so.2       7f6afda65c80            1          513
          _dl_sort_fini ld-linux-x86-64.so.2       7f6afda659f0            1         1028
               _dl_init ld-linux-x86-64.so.2       7f6afda658d0            1          135
       call_init.part.0 ld-linux-x86-64.so.2       7f6afda657c0            8          459
      _dl_receive_error ld-linux-x86-64.so.2       7f6afda65760            1           28
        _dl_catch_error ld-linux-x86-64.so.2       7f6afda65680           17          612
              _dl_fixup ld-linux-x86-64.so.2       7f6afda64b70          125        10603
   _dl_important_hwcaps ld-linux-x86-64.so.2       7f6afda64430            1          324
    _dl_map_object_deps ld-linux-x86-64.so.2       7f6afda632a0            1         3687
                openaux ld-linux-x86-64.so.2       7f6afda63260           17          289
    _dl_relocate_object ld-linux-x86-64.so.2       7f6afda61d10            8       219708
      _dl_protect_relro ld-linux-x86-64.so.2       7f6afda61bd0            8          152
         _dl_new_object ld-linux-x86-64.so.2       7f6afda616f0            8         1385
_dl_add_to_namespace_list ld-linux-x86-64.so.2       7f6afda61660            8          362
         _dl_setup_hash ld-linux-x86-64.so.2       7f6afda615b0            9          214
    _dl_lookup_symbol_x ld-linux-x86-64.so.2       7f6afda60540         1383       538738
            do_lookup_x ld-linux-x86-64.so.2       7f6afda5fbd0         1383       329890
       check_match.9447 ld-linux-x86-64.so.2       7f6afda5fa50         1371        69142
         _dl_map_object ld-linux-x86-64.so.2       7f6afda5ee70           17         3892
         _dl_init_paths ld-linux-x86-64.so.2       7f6afda5e9f0            1          118
 _dl_map_object_from_fd ld-linux-x86-64.so.2       7f6afda5d050            6         5578
            open_verify ld-linux-x86-64.so.2       7f6afda5c530            6         1178
           local_strdup ld-linux-x86-64.so.2       7f6afda5c020            6          102
              _dl_start ld-linux-x86-64.so.2       7f6afda5b740            1          812
     version_check_doit ld-linux-x86-64.so.2       7f6afda5b700            1           10
                dl_main ld-linux-x86-64.so.2       7f6afda58680            1         1453
rtld_lock_default_unlock_recursive ld-linux-x86-64.so.2       7f6afda58200           59          118
rtld_lock_default_lock_recursive ld-linux-x86-64.so.2       7f6afda581f0           59          118
_dl_initial_error_catch_tsd ld-linux-x86-64.so.2       7f6afda581e0           19           38
               init_tls ld-linux-x86-64.so.2       7f6afda57e3e            1          108
                   .plt ld-linux-x86-64.so.2       7f6afda57a70            0          120
                  _fini            sssp             40c034            1            3
        __libc_csu_init            sssp             40bfc0            1           69
_ZNSt6vectorISt4listIP20gm_complex_data_typeSaIS2_EESaIS4_EE17_M_default_appendEm            sssp             40b4b0            1          129
_ZNSt6vectorISt4listIPvSaIS1_EESaIS3_EE17_M_default_appendEm            sssp             40b2e0            1          129
_ZN13gm_mem_helper6resizeEi            sssp             40b1b0            1           46
     _Z13gm_rt_cleanupv            sssp             40b1a0            1            2
_Z19gm_rt_allocate_boolmi            sssp             40af80            2           50
_Z18gm_rt_allocate_intmi            sssp             40ae80            1           29
_ZN13gm_mem_helper7cleanupEv            sssp             40ad20            1          200
 _ZN13gm_mem_helperD2Ev            sssp             409050            1          142
   _Z15gm_rt_thread_idv            sssp             408f90            3            3
_Z21gm_rt_set_num_threadsi            sssp             408f20            1           16
  _Z16gm_rt_initializev            sssp             408e50            1           12
_ZN10gm_runtime10initializeEv            sssp             408c40            1           36
_ZN10gm_runtime19expand_random_seedsEii            sssp             408980            1          139
_ZN10gm_runtime15set_num_threadsEi._omp_fn.0            sssp             408930            8           72
    _ZN10gm_runtimeD2Ev            sssp             4088e0            1            5
_ZN8gm_graph11load_binaryEPc            sssp             406ef0            1          225
_ZN8gm_graph20load_binary_internalEP8_IO_FILEjb._omp_fn.0            sssp             406a30            1           57
_ZN8gm_graph20load_binary_internalEP8_IO_FILEjb._omp_fn.1            sssp             406980            1           43
_ZN8gm_graph18make_reverse_edgesEv            sssp             405960            2          167
  _ZN8gm_graph6freezeEv            sssp             405940            1            3
_ZN8gm_graph12do_semi_sortEv            sssp             405610            1           48
_ZL14semi_sort_mainiiPiS_S_S_._omp_fn.6            sssp             404e20            2          212
_ZN8gm_graph11clear_graphEv            sssp             4043f0            2           50
_ZN8gm_graph32allocate_memory_for_frozen_graphEii            sssp             4040a0            1           31
       _ZN8gm_graphD1Ev            sssp             403fb0            1           37
_ZN8gm_graph19delete_frozen_graphEv            sssp             403ec0            3          138
       _ZN8gm_graphC2Ev            sssp             403b40            1           74
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.0            sssp             403ae0            1           29
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.1            sssp             4039a0            1           40
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.2            sssp             4038c0            1           42
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.3            sssp             403810            1           38
_ZN8gm_graph12do_semi_sortEv._omp_fn.7            sssp             403780            1           35
_Z22gm_spinlock_table_initv            sssp             4034e0            1       408963
  _ZN7my_main7prepareEv            sssp             403330            1           42
      _ZN7my_main3runEv            sssp             403300            1            9
        _ZN7my_mainD1Ev            sssp             4032c0            1           15
_ZN7my_main12post_processEv            sssp             403280            1          101
