===============================================
MyPinTool analysis results: 
Number of instructions: 9540661
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7fdb2955f2c0            4           84
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale  libstdc++.so.6       7fdb2955f180            4           84
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7fdb2955e570            4           76
_ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7fdb2955e520            4           76
_ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale  libstdc++.so.6       7fdb2955d700            4           76
  _ZNSt8messagesIcEC1Em  libstdc++.so.6       7fdb2955d270            1           19
_ZNSt11__timepunctIcEC2EPSt17__timepunct_cacheIcEm  libstdc++.so.6       7fdb2955caa0            1           22
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E  libstdc++.so.6       7fdb29554e40            4           88
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7fdb29554d00            4          120
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E  libstdc++.so.6       7fdb295546e0            4           88
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7fdb295545a0            4          120
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_  libstdc++.so.6       7fdb29553df0            1            9
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7fdb29552d50            1          105
_ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7fdb295523c0            1          107
_ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fdb29552160            1          349
_ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fdb29551f30            1          413
_ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fdb29551840            1          101
_ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fdb29551270            1          101
_ZNSt10moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fdb29550d30            1          112
_ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fdb295507f0            1          112
_ZNSt5ctypeIwE19_M_initialize_ctypeEv  libstdc++.so.6       7fdb29550110            1         2757
_ZNKSt5ctypeIwE19_M_convert_to_wmaskEt  libstdc++.so.6       7fdb2954fb60           12          129
 _ZNSt5ctypeIcEC2EPKtbm  libstdc++.so.6       7fdb2954f8a0            1          159
       _ZNSt6localeC1Ev  libstdc++.so.6       7fdb29548d70           22          418
 _ZNSt6locale5_ImplC1Em  libstdc++.so.6       7fdb29547ba0            1          819
_ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE  libstdc++.so.6       7fdb295477f0           28         7420
_ZNKSt6locale2id5_M_idEv  libstdc++.so.6       7fdb295477b0           84          644
       _ZNSt6localeD1Ev  libstdc++.so.6       7fdb29547410            8           80
    _ZNSt6localeaSERKS_  libstdc++.so.6       7fdb29547390            8          120
_ZNSt6locale5facet13_S_get_c_nameEv  libstdc++.so.6       7fdb295471e0            5           10
_ZNSt6locale5facet15_S_get_c_localeEv  libstdc++.so.6       7fdb295471a0           10          100
_ZNSt8__detail15_List_node_base7_M_hookEPS0_  libstdc++.so.6       7fdb29546900            3           21
_ZNSt8ios_base7_M_initEv  libstdc++.so.6       7fdb29546780            8          144
_ZNSt8ios_base4InitD1Ev  libstdc++.so.6       7fdb29546480            4           50
_ZNSt8ios_base4InitC2Ev  libstdc++.so.6       7fdb29545bb0            4          333
     _ZNSt8ios_baseC2Ev  libstdc++.so.6       7fdb295456b0            8          472
     _ZNSt5ctypeIwEC2Em  libstdc++.so.6       7fdb295452c0            1           19
_ZNSt7codecvtIwc11__mbstate_tEC2Em  libstdc++.so.6       7fdb29542680            1           17
_ZNSt7codecvtIcc11__mbstate_tEC1Em  libstdc++.so.6       7fdb295425e0            1           17
_ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7fdb29537ce0            8          464
_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7fdb29537330           40         1400
                  _Znam  libstdc++.so.6       7fdb29536fb0           16           64
                  _Znwm  libstdc++.so.6       7fdb29536ea0           63          945
    __cxa_guard_release  libstdc++.so.6       7fdb29536cd0            1            7
    __cxa_guard_acquire  libstdc++.so.6       7fdb29536b80            1           30
         __dynamic_cast  libstdc++.so.6       7fdb29535220           48         1968
                 _ZdaPv  libstdc++.so.6       7fdb29535200           16           16
                 _ZdlPv  libstdc++.so.6       7fdb295351d0           63          189
                  .text  libstdc++.so.6       7fdb29533610            1          294
                   .plt  libstdc++.so.6       7fdb29530ce0           68         1217
                  _init  libstdc++.so.6       7fdb29530cc0            1            6
                 memcpy ld-linux-x86-64.so.2       7fdb3cc28520           37         1149
              __mempcpy ld-linux-x86-64.so.2       7fdb3cc282f0           32          632
                 memset ld-linux-x86-64.so.2       7fdb3cc282e0           45        10977
                 memcmp ld-linux-x86-64.so.2       7fdb3cc27c50           24         2013
                 strlen ld-linux-x86-64.so.2       7fdb3cc275f0           28         1467
                 strcmp ld-linux-x86-64.so.2       7fdb3cc275c0        22601       161315
                 strchr ld-linux-x86-64.so.2       7fdb3cc27540           23          764
       __GI___sigsetjmp ld-linux-x86-64.so.2       7fdb3cc27260           17          323
             __mprotect ld-linux-x86-64.so.2       7fdb3cc27190           14           70
                 munmap ld-linux-x86-64.so.2       7fdb3cc27170            1            5
                 __mmap ld-linux-x86-64.so.2       7fdb3cc27140           22          132
                  close ld-linux-x86-64.so.2       7fdb3cc27120            7           35
                 access ld-linux-x86-64.so.2       7fdb3cc27070            1            9
                   read ld-linux-x86-64.so.2       7fdb3cc27030            6           30
                 __open ld-linux-x86-64.so.2       7fdb3cc27010            7           35
               __fxstat ld-linux-x86-64.so.2       7fdb3cc26f90            7           70
                 __sbrk ld-linux-x86-64.so.2       7fdb3cc25d50            1           17
                  __brk ld-linux-x86-64.so.2       7fdb3cc25cf0            1           12
                   free ld-linux-x86-64.so.2       7fdb3cc257c0            2           12
                 calloc ld-linux-x86-64.so.2       7fdb3cc25780           22          176
                 malloc ld-linux-x86-64.so.2       7fdb3cc25770           45          135
        __libc_memalign ld-linux-x86-64.so.2       7fdb3cc25660           46         1475
  _dl_next_ld_env_entry ld-linux-x86-64.so.2       7fdb3cc255a0            1          571
 _dl_discover_osversion ld-linux-x86-64.so.2       7fdb3cc253c0            1           53
_dl_sysdep_start_cleanup ld-linux-x86-64.so.2       7fdb3cc25200            1            1
       _dl_sysdep_start ld-linux-x86-64.so.2       7fdb3cc24f40            1          557
       _dl_unload_cache ld-linux-x86-64.so.2       7fdb3cc24f00            1           10
  _dl_load_cache_lookup ld-linux-x86-64.so.2       7fdb3cc249b0            6         1649
       _dl_cache_libcmp ld-linux-x86-64.so.2       7fdb3cc248d0           65         4685
    _dl_runtime_resolve ld-linux-x86-64.so.2       7fdb3cc24160          126         2646
_dl_find_dso_for_object ld-linux-x86-64.so.2       7fdb3cc22710            1           69
    _dl_add_to_slotinfo ld-linux-x86-64.so.2       7fdb3cc21a20            3           60
         __tls_get_addr ld-linux-x86-64.so.2       7fdb3cc21970            1           11
       _dl_allocate_tls ld-linux-x86-64.so.2       7fdb3cc21550            7           49
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7fdb3cc21330            8         1312
_dl_allocate_tls_storage ld-linux-x86-64.so.2       7fdb3cc211f0            1          324
_dl_get_tls_static_info ld-linux-x86-64.so.2       7fdb3cc211d0            1            5
_dl_determine_tlsoffset ld-linux-x86-64.so.2       7fdb3cc20f60            1          144
     _dl_next_tls_modid ld-linux-x86-64.so.2       7fdb3cc20e80            3           24
           allocate_dtv ld-linux-x86-64.so.2       7fdb3cc20e30            8          152
 _dl_check_all_versions ld-linux-x86-64.so.2       7fdb3cc201a0            1          145
 _dl_check_map_versions ld-linux-x86-64.so.2       7fdb3cc1fd20            9         6116
           match_symbol ld-linux-x86-64.so.2       7fdb3cc1f960           39         3917
_dl_higher_prime_number ld-linux-x86-64.so.2       7fdb3cc1f8f0            2          144
       _dl_name_match_p ld-linux-x86-64.so.2       7fdb3cc1f880          700        18982
_dl_sysdep_read_whole_file ld-linux-x86-64.so.2       7fdb3cc1f6e0            1           41
   _dl_debug_initialize ld-linux-x86-64.so.2       7fdb3cc1f0b0            8           73
        _dl_debug_state ld-linux-x86-64.so.2       7fdb3cc1f0a0            2            2
               _dl_fini ld-linux-x86-64.so.2       7fdb3cc1ec80            1          513
          _dl_sort_fini ld-linux-x86-64.so.2       7fdb3cc1e9f0            1         1028
               _dl_init ld-linux-x86-64.so.2       7fdb3cc1e8d0            1          135
       call_init.part.0 ld-linux-x86-64.so.2       7fdb3cc1e7c0            8          459
      _dl_receive_error ld-linux-x86-64.so.2       7fdb3cc1e760            1           28
        _dl_catch_error ld-linux-x86-64.so.2       7fdb3cc1e680           17          612
              _dl_fixup ld-linux-x86-64.so.2       7fdb3cc1db70          126        10695
   _dl_important_hwcaps ld-linux-x86-64.so.2       7fdb3cc1d430            1          324
    _dl_map_object_deps ld-linux-x86-64.so.2       7fdb3cc1c2a0            1         3687
                openaux ld-linux-x86-64.so.2       7fdb3cc1c260           17          289
    _dl_relocate_object ld-linux-x86-64.so.2       7fdb3cc1ad10            8       219708
      _dl_protect_relro ld-linux-x86-64.so.2       7fdb3cc1abd0            8          152
         _dl_new_object ld-linux-x86-64.so.2       7fdb3cc1a6f0            8         1385
_dl_add_to_namespace_list ld-linux-x86-64.so.2       7fdb3cc1a660            8          362
         _dl_setup_hash ld-linux-x86-64.so.2       7fdb3cc1a5b0            9          214
    _dl_lookup_symbol_x ld-linux-x86-64.so.2       7fdb3cc19540         1384       538887
            do_lookup_x ld-linux-x86-64.so.2       7fdb3cc18bd0         1384       330400
       check_match.9447 ld-linux-x86-64.so.2       7fdb3cc18a50         1372        69198
         _dl_map_object ld-linux-x86-64.so.2       7fdb3cc17e70           17         3892
         _dl_init_paths ld-linux-x86-64.so.2       7fdb3cc179f0            1          118
 _dl_map_object_from_fd ld-linux-x86-64.so.2       7fdb3cc16050            6         5578
            open_verify ld-linux-x86-64.so.2       7fdb3cc15530            6         1178
           local_strdup ld-linux-x86-64.so.2       7fdb3cc15020            6          102
              _dl_start ld-linux-x86-64.so.2       7fdb3cc14740            1          812
     version_check_doit ld-linux-x86-64.so.2       7fdb3cc14700            1           10
                dl_main ld-linux-x86-64.so.2       7fdb3cc11680            1         1453
rtld_lock_default_unlock_recursive ld-linux-x86-64.so.2       7fdb3cc11200           59          118
rtld_lock_default_lock_recursive ld-linux-x86-64.so.2       7fdb3cc111f0           59          118
_dl_initial_error_catch_tsd ld-linux-x86-64.so.2       7fdb3cc111e0           19           38
               init_tls ld-linux-x86-64.so.2       7fdb3cc10e3e            1          108
                   .plt ld-linux-x86-64.so.2       7fdb3cc10a70            0          120
                  _fini            sssp             40c034            1            3
        __libc_csu_init            sssp             40bfc0            1           69
_ZNSt6vectorISt4listIP20gm_complex_data_typeSaIS2_EESaIS4_EE17_M_default_appendEm            sssp             40b4b0            1          129
_ZNSt6vectorISt4listIPvSaIS1_EESaIS3_EE17_M_default_appendEm            sssp             40b2e0            1          129
_ZN13gm_mem_helper6resizeEi            sssp             40b1b0            1           46
     _Z13gm_rt_cleanupv            sssp             40b1a0            1            2
_Z19gm_rt_allocate_boolmi            sssp             40af80            2           50
_Z18gm_rt_allocate_intmi            sssp             40ae80            1           29
_ZN13gm_mem_helper7cleanupEv            sssp             40ad20            1          200
 _ZN13gm_mem_helperD2Ev            sssp             409050            1          142
   _Z15gm_rt_thread_idv            sssp             408f90            3            3
_Z21gm_rt_set_num_threadsi            sssp             408f20            1           16
  _Z16gm_rt_initializev            sssp             408e50            1           12
_ZN10gm_runtime10initializeEv            sssp             408c40            1           36
_ZN10gm_runtime19expand_random_seedsEii            sssp             408980            1          139
_ZN10gm_runtime15set_num_threadsEi._omp_fn.0            sssp             408930            8           72
    _ZN10gm_runtimeD2Ev            sssp             4088e0            1            5
_ZN8gm_graph11load_binaryEPc            sssp             406ef0            1         2861
_ZN8gm_graph20load_binary_internalEP8_IO_FILEjb._omp_fn.0            sssp             406a30            1          107
_ZN8gm_graph20load_binary_internalEP8_IO_FILEjb._omp_fn.1            sssp             406980            1         1234
   _ZN9gm_rand324randEv            sssp             406960          136         1360
_ZSt16__introsort_loopIPil16_gm_sort_indicesIiEEvT_S3_T0_T1_            sssp             406760           56         1220
_ZNSt6vectorIiSaIiEE7reserveEm            sssp             405ca0           40         1632
_ZN8gm_graph18make_reverse_edgesEv            sssp             405960            2          446
  _ZN8gm_graph6freezeEv            sssp             405940            1            3
_ZN8gm_graph12do_semi_sortEv            sssp             405610            1           48
_ZL14semi_sort_mainiiPiS_S_S_._omp_fn.6            sssp             404e20            2        17654
_ZN8gm_graph11clear_graphEv            sssp             4043f0            2           50
_ZN8gm_graph32allocate_memory_for_frozen_graphEii            sssp             4040a0            1           31
       _ZN8gm_graphD1Ev            sssp             403fb0            1           37
_ZN8gm_graph19delete_frozen_graphEv            sssp             403ec0            3          138
       _ZN8gm_graphC2Ev            sssp             403b40            1           74
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.0            sssp             403ae0            1           29
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.1            sssp             4039a0            1         2040
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.2            sssp             4038c0            1         1889
_ZN8gm_graph18make_reverse_edgesEv._omp_fn.3            sssp             403810            1         1260
_ZN8gm_graph12do_semi_sortEv._omp_fn.7            sssp             403780            1         1040
